source,target,edge_type
recipe_49,ingredient_18,contains
recipe_49,ingredient_55,contains
recipe_49,ingredient_56,contains
recipe_49,ingredient_46,contains
recipe_49,ingredient_57,contains
recipe_49,ingredient_58,contains
recipe_49,cuisine_59,belongs_to
recipe_49,diet_37,suitable_for
recipe_49,meal_type_21,is_type
recipe_60,ingredient_61,contains
recipe_60,ingredient_62,contains
recipe_60,ingredient_63,contains
recipe_60,ingredient_15,contains
recipe_60,ingredient_64,contains
recipe_60,ingredient_65,contains
recipe_60,ingredient_13,contains
recipe_60,ingredient_42,contains
recipe_60,ingredient_43,contains
recipe_60,ingredient_41,contains
recipe_60,ingredient_66,contains
recipe_60,ingredient_67,contains
recipe_60,ingredient_68,contains
recipe_60,ingredient_69,contains
recipe_60,ingredient_28,contains
recipe_60,ingredient_4,contains
recipe_60,ingredient_46,contains
recipe_60,ingredient_70,contains
recipe_60,ingredient_71,contains
recipe_60,cuisine_72,belongs_to
recipe_60,diet_73,suitable_for
recipe_60,meal_type_38,is_type
recipe_74,ingredient_75,contains
recipe_74,ingredient_76,contains
recipe_74,ingredient_42,contains
recipe_74,ingredient_13,contains
recipe_74,ingredient_77,contains
recipe_74,ingredient_78,contains
recipe_74,ingredient_79,contains
recipe_74,ingredient_80,contains
recipe_74,ingredient_33,contains
recipe_74,ingredient_81,contains
recipe_74,ingredient_82,contains
recipe_74,ingredient_28,contains
recipe_74,ingredient_46,contains
recipe_74,ingredient_83,contains
recipe_74,ingredient_62,contains
recipe_74,cuisine_84,belongs_to
recipe_74,diet_73,suitable_for
recipe_74,meal_type_85,is_type
recipe_86,ingredient_87,contains
recipe_86,ingredient_3,contains
recipe_86,ingredient_88,contains
recipe_86,ingredient_41,contains
recipe_86,ingredient_12,contains
recipe_86,ingredient_42,contains
recipe_86,ingredient_13,contains
recipe_86,ingredient_17,contains
recipe_86,ingredient_89,contains
recipe_86,ingredient_44,contains
recipe_86,ingredient_28,contains
recipe_86,ingredient_46,contains
recipe_86,cuisine_90,belongs_to
recipe_86,diet_73,suitable_for
recipe_86,meal_type_48,is_type
recipe_86,region_22,belongs_to_region
recipe_86,state_91,belongs_to_state
recipe_92,ingredient_93,contains
recipe_92,ingredient_57,contains
recipe_92,ingredient_41,contains
recipe_92,ingredient_12,contains
recipe_92,ingredient_13,contains
recipe_92,ingredient_42,contains
recipe_92,ingredient_94,contains
recipe_92,ingredient_17,contains
recipe_92,ingredient_45,contains
recipe_92,ingredient_18,contains
recipe_92,ingredient_44,contains
recipe_92,ingredient_4,contains
recipe_92,ingredient_95,contains
recipe_92,ingredient_14,contains
recipe_92,ingredient_28,contains
recipe_92,cuisine_47,belongs_to
recipe_92,diet_20,suitable_for
recipe_92,meal_type_85,is_type
recipe_96,ingredient_97,contains
recipe_96,ingredient_98,contains
recipe_96,ingredient_46,contains
recipe_96,ingredient_83,contains
recipe_96,ingredient_99,contains
recipe_96,ingredient_57,contains
recipe_96,ingredient_43,contains
recipe_96,ingredient_32,contains
recipe_96,ingredient_100,contains
recipe_96,ingredient_28,contains
recipe_96,cuisine_36,belongs_to
recipe_96,diet_73,suitable_for
recipe_96,meal_type_21,is_type
recipe_101,ingredient_102,contains
recipe_101,ingredient_14,contains
recipe_101,ingredient_28,contains
recipe_101,ingredient_103,contains
recipe_101,ingredient_93,contains
recipe_101,ingredient_104,contains
recipe_101,ingredient_105,contains
recipe_101,ingredient_42,contains
recipe_101,ingredient_106,contains
recipe_101,ingredient_107,contains
recipe_101,ingredient_108,contains
recipe_101,ingredient_33,contains
recipe_101,ingredient_109,contains
recipe_101,ingredient_4,contains
recipe_101,cuisine_84,belongs_to
recipe_101,diet_73,suitable_for
recipe_101,meal_type_110,is_type
recipe_111,ingredient_112,contains
recipe_111,ingredient_89,contains
recipe_111,ingredient_44,contains
recipe_111,ingredient_18,contains
recipe_111,ingredient_113,contains
recipe_111,ingredient_114,contains
recipe_111,ingredient_3,contains
recipe_111,ingredient_14,contains
recipe_111,ingredient_41,contains
recipe_111,ingredient_63,contains
recipe_111,ingredient_12,contains
recipe_111,ingredient_42,contains
recipe_111,ingredient_13,contains
recipe_111,ingredient_51,contains
recipe_111,ingredient_53,contains
recipe_111,ingredient_52,contains
recipe_111,ingredient_43,contains
recipe_111,ingredient_15,contains
recipe_111,cuisine_47,belongs_to
recipe_111,diet_73,suitable_for
recipe_111,meal_type_48,is_type
recipe_115,ingredient_116,contains
recipe_115,ingredient_117,contains
recipe_115,ingredient_118,contains
recipe_115,ingredient_15,contains
recipe_115,ingredient_119,contains
recipe_115,ingredient_120,contains
recipe_115,ingredient_57,contains
recipe_115,ingredient_3,contains
recipe_115,ingredient_28,contains
recipe_115,ingredient_121,contains
recipe_115,ingredient_122,contains
recipe_115,ingredient_42,contains
recipe_115,ingredient_100,contains
recipe_115,ingredient_123,contains
recipe_115,ingredient_43,contains
recipe_115,cuisine_124,belongs_to
recipe_115,diet_73,suitable_for
recipe_115,meal_type_48,is_type
recipe_125,ingredient_126,contains
recipe_125,ingredient_14,contains
recipe_125,ingredient_52,contains
recipe_125,ingredient_53,contains
recipe_125,ingredient_51,contains
recipe_125,ingredient_41,contains
recipe_125,ingredient_12,contains
recipe_125,ingredient_13,contains
recipe_125,ingredient_43,contains
recipe_125,ingredient_89,contains
recipe_125,ingredient_44,contains
recipe_125,ingredient_17,contains
recipe_125,ingredient_127,contains
recipe_125,ingredient_18,contains
recipe_125,ingredient_83,contains
recipe_125,ingredient_28,contains
recipe_125,ingredient_55,contains
recipe_125,cuisine_128,belongs_to
recipe_125,diet_73,suitable_for
recipe_125,meal_type_129,is_type
recipe_130,ingredient_131,contains
recipe_130,ingredient_132,contains
recipe_130,ingredient_133,contains
recipe_130,ingredient_134,contains
recipe_130,ingredient_83,contains
recipe_130,ingredient_62,contains
recipe_130,ingredient_82,contains
recipe_130,ingredient_135,contains
recipe_130,ingredient_100,contains
recipe_130,ingredient_136,contains
recipe_130,ingredient_32,contains
recipe_130,ingredient_33,contains
recipe_130,ingredient_28,contains
recipe_130,cuisine_84,belongs_to
recipe_130,diet_73,suitable_for
recipe_130,meal_type_85,is_type
recipe_137,ingredient_138,contains
recipe_137,ingredient_66,contains
recipe_137,ingredient_51,contains
recipe_137,cuisine_72,belongs_to
recipe_137,diet_73,suitable_for
recipe_137,meal_type_48,is_type
recipe_139,ingredient_140,contains
recipe_139,ingredient_32,contains
recipe_139,ingredient_41,contains
recipe_139,ingredient_42,contains
recipe_139,ingredient_141,contains
recipe_139,ingredient_142,contains
recipe_139,ingredient_143,contains
recipe_139,ingredient_122,contains
recipe_139,ingredient_33,contains
recipe_139,ingredient_28,contains
recipe_139,ingredient_29,contains
recipe_139,ingredient_144,contains
recipe_139,ingredient_145,contains
recipe_139,ingredient_146,contains
recipe_139,ingredient_147,contains
recipe_139,cuisine_84,belongs_to
recipe_139,diet_73,suitable_for
recipe_139,meal_type_38,is_type
recipe_148,ingredient_149,contains
recipe_148,ingredient_41,contains
recipe_148,ingredient_150,contains
recipe_148,ingredient_46,contains
recipe_148,ingredient_151,contains
recipe_148,ingredient_43,contains
recipe_148,ingredient_42,contains
recipe_148,ingredient_15,contains
recipe_148,ingredient_14,contains
recipe_148,ingredient_28,contains
recipe_148,ingredient_3,contains
recipe_148,cuisine_128,belongs_to
recipe_148,diet_73,suitable_for
recipe_148,meal_type_152,is_type
recipe_153,ingredient_154,contains
recipe_153,ingredient_123,contains
recipe_153,ingredient_3,contains
recipe_153,ingredient_155,contains
recipe_153,ingredient_28,contains
recipe_153,ingredient_43,contains
recipe_153,ingredient_46,contains
recipe_153,ingredient_156,contains
recipe_153,ingredient_157,contains
recipe_153,cuisine_84,belongs_to
recipe_153,diet_73,suitable_for
recipe_153,meal_type_110,is_type
recipe_158,ingredient_159,contains
recipe_158,ingredient_160,contains
recipe_158,ingredient_15,contains
recipe_158,ingredient_44,contains
recipe_158,ingredient_33,contains
recipe_158,ingredient_4,contains
recipe_158,ingredient_28,contains
recipe_158,ingredient_3,contains
recipe_158,ingredient_161,contains
recipe_158,ingredient_162,contains
recipe_158,ingredient_46,contains
recipe_158,ingredient_43,contains
recipe_158,cuisine_163,belongs_to
recipe_158,diet_73,suitable_for
recipe_158,meal_type_152,is_type
recipe_158,region_164,belongs_to_region
recipe_158,state_165,belongs_to_state
recipe_166,ingredient_167,contains
recipe_166,ingredient_13,contains
recipe_166,ingredient_42,contains
recipe_166,ingredient_41,contains
recipe_166,ingredient_63,contains
recipe_166,ingredient_89,contains
recipe_166,ingredient_44,contains
recipe_166,ingredient_33,contains
recipe_166,ingredient_56,contains
recipe_166,ingredient_28,contains
recipe_166,ingredient_3,contains
recipe_166,ingredient_119,contains
recipe_166,ingredient_15,contains
recipe_166,ingredient_51,contains
recipe_166,ingredient_53,contains
recipe_166,ingredient_168,contains
recipe_166,ingredient_169,contains
recipe_166,ingredient_170,contains
recipe_166,cuisine_47,belongs_to
recipe_166,diet_171,suitable_for
recipe_166,meal_type_38,is_type
recipe_172,ingredient_12,contains
recipe_172,ingredient_94,contains
recipe_172,ingredient_173,contains
recipe_172,ingredient_89,contains
recipe_172,ingredient_44,contains
recipe_172,ingredient_174,contains
recipe_172,ingredient_175,contains
recipe_172,ingredient_42,contains
recipe_172,ingredient_3,contains
recipe_172,ingredient_28,contains
recipe_172,cuisine_176,belongs_to
recipe_172,diet_73,suitable_for
recipe_172,meal_type_85,is_type
recipe_172,region_177,belongs_to_region
recipe_172,state_178,belongs_to_state
recipe_179,ingredient_112,contains
recipe_179,ingredient_41,contains
recipe_179,ingredient_13,contains
recipe_179,ingredient_43,contains
recipe_179,ingredient_12,contains
recipe_179,ingredient_180,contains
recipe_179,ingredient_44,contains
recipe_179,ingredient_89,contains
recipe_179,ingredient_17,contains
recipe_179,ingredient_127,contains
recipe_179,ingredient_28,contains
recipe_179,ingredient_181,contains
recipe_179,ingredient_46,contains
recipe_179,cuisine_182,belongs_to
recipe_179,diet_171,suitable_for
recipe_179,meal_type_85,is_type
recipe_179,region_7,belongs_to_region
recipe_179,state_8,belongs_to_state
recipe_183,ingredient_184,contains
recipe_183,ingredient_185,contains
recipe_183,ingredient_13,contains
recipe_183,ingredient_41,contains
recipe_183,ingredient_63,contains
recipe_183,ingredient_61,contains
recipe_183,ingredient_186,contains
recipe_183,ingredient_95,contains
recipe_183,ingredient_51,contains
recipe_183,ingredient_52,contains
recipe_183,ingredient_53,contains
recipe_183,ingredient_43,contains
recipe_183,ingredient_31,contains
recipe_183,ingredient_113,contains
recipe_183,ingredient_14,contains
recipe_183,ingredient_3,contains
recipe_183,cuisine_47,belongs_to
recipe_183,diet_73,suitable_for
recipe_183,meal_type_48,is_type
recipe_187,ingredient_188,contains
recipe_187,ingredient_189,contains
recipe_187,ingredient_190,contains
recipe_187,ingredient_105,contains
recipe_187,ingredient_191,contains
recipe_187,ingredient_192,contains
recipe_187,ingredient_193,contains
recipe_187,ingredient_194,contains
recipe_187,ingredient_136,contains
recipe_187,ingredient_77,contains
recipe_187,ingredient_108,contains
recipe_187,ingredient_80,contains
recipe_187,ingredient_62,contains
recipe_187,ingredient_31,contains
recipe_187,ingredient_195,contains
recipe_187,ingredient_29,contains
recipe_187,ingredient_28,contains
recipe_187,cuisine_84,belongs_to
recipe_187,diet_20,suitable_for
recipe_187,meal_type_38,is_type
recipe_196,ingredient_197,contains
recipe_196,ingredient_50,contains
recipe_196,ingredient_41,contains
recipe_196,ingredient_42,contains
recipe_196,ingredient_13,contains
recipe_196,ingredient_198,contains
recipe_196,ingredient_43,contains
recipe_196,ingredient_44,contains
recipe_196,ingredient_89,contains
recipe_196,ingredient_18,contains
recipe_196,ingredient_33,contains
recipe_196,ingredient_162,contains
recipe_196,ingredient_28,contains
recipe_196,ingredient_69,contains
recipe_196,cuisine_199,belongs_to
recipe_196,diet_171,suitable_for
recipe_196,meal_type_48,is_type
recipe_196,region_177,belongs_to_region
recipe_196,state_200,belongs_to_state
recipe_201,ingredient_202,contains
recipe_201,ingredient_203,contains
recipe_201,ingredient_46,contains
recipe_201,ingredient_42,contains
recipe_201,ingredient_43,contains
recipe_201,ingredient_100,contains
recipe_201,ingredient_32,contains
recipe_201,ingredient_80,contains
recipe_201,ingredient_28,contains
recipe_201,cuisine_204,belongs_to
recipe_201,diet_37,suitable_for
recipe_201,meal_type_21,is_type
recipe_205,ingredient_156,contains
recipe_205,ingredient_206,contains
recipe_205,ingredient_4,contains
recipe_205,ingredient_32,contains
recipe_205,ingredient_123,contains
recipe_205,ingredient_28,contains
recipe_205,ingredient_41,contains
recipe_205,ingredient_207,contains
recipe_205,ingredient_208,contains
recipe_205,ingredient_209,contains
recipe_205,cuisine_36,belongs_to
recipe_205,diet_73,suitable_for
recipe_205,meal_type_85,is_type
recipe_210,ingredient_211,contains
recipe_210,ingredient_102,contains
recipe_210,ingredient_140,contains
recipe_210,ingredient_127,contains
recipe_210,ingredient_31,contains
recipe_210,ingredient_28,contains
recipe_210,ingredient_105,contains
recipe_210,ingredient_212,contains
recipe_210,ingredient_104,contains
recipe_210,ingredient_42,contains
recipe_210,ingredient_134,contains
recipe_210,ingredient_113,contains
recipe_210,ingredient_209,contains
recipe_210,cuisine_213,belongs_to
recipe_210,diet_73,suitable_for
recipe_210,meal_type_38,is_type
recipe_214,ingredient_156,contains
recipe_214,ingredient_3,contains
recipe_214,ingredient_28,contains
recipe_214,ingredient_215,contains
recipe_214,ingredient_151,contains
recipe_214,ingredient_15,contains
recipe_214,ingredient_13,contains
recipe_214,ingredient_43,contains
recipe_214,ingredient_44,contains
recipe_214,ingredient_89,contains
recipe_214,ingredient_17,contains
recipe_214,ingredient_181,contains
recipe_214,cuisine_47,belongs_to
recipe_214,diet_216,suitable_for
recipe_214,meal_type_152,is_type
recipe_217,ingredient_218,contains
recipe_217,ingredient_198,contains
recipe_217,ingredient_219,contains
recipe_217,ingredient_174,contains
recipe_217,ingredient_220,contains
recipe_217,ingredient_44,contains
recipe_217,ingredient_3,contains
recipe_217,ingredient_28,contains
recipe_217,ingredient_119,contains
recipe_217,ingredient_15,contains
recipe_217,ingredient_94,contains
recipe_217,ingredient_162,contains
recipe_217,cuisine_199,belongs_to
recipe_217,diet_73,suitable_for
recipe_217,meal_type_85,is_type
recipe_217,region_177,belongs_to_region
recipe_217,state_200,belongs_to_state
recipe_221,ingredient_222,contains
recipe_221,ingredient_89,contains
recipe_221,ingredient_44,contains
recipe_221,ingredient_223,contains
recipe_221,ingredient_224,contains
recipe_221,ingredient_28,contains
recipe_221,ingredient_41,contains
recipe_221,ingredient_225,contains
recipe_221,ingredient_42,contains
recipe_221,ingredient_13,contains
recipe_221,cuisine_163,belongs_to
recipe_221,diet_73,suitable_for
recipe_221,meal_type_48,is_type
recipe_221,region_164,belongs_to_region
recipe_221,state_165,belongs_to_state
recipe_226,ingredient_156,contains
recipe_226,ingredient_206,contains
recipe_226,ingredient_4,contains
recipe_226,ingredient_123,contains
recipe_226,ingredient_56,contains
recipe_226,ingredient_227,contains
recipe_226,ingredient_228,contains
recipe_226,ingredient_28,contains
recipe_226,cuisine_229,belongs_to
recipe_226,diet_73,suitable_for
recipe_226,meal_type_85,is_type
recipe_230,ingredient_118,contains
recipe_230,ingredient_63,contains
recipe_230,ingredient_41,contains
recipe_230,ingredient_12,contains
recipe_230,ingredient_42,contains
recipe_230,ingredient_13,contains
recipe_230,ingredient_127,contains
recipe_230,ingredient_17,contains
recipe_230,ingredient_89,contains
recipe_230,ingredient_18,contains
recipe_230,ingredient_114,contains
recipe_230,ingredient_44,contains
recipe_230,ingredient_46,contains
recipe_230,ingredient_55,contains
recipe_230,ingredient_28,contains
recipe_230,cuisine_47,belongs_to
recipe_230,diet_216,suitable_for
recipe_230,meal_type_21,is_type
recipe_231,ingredient_232,contains
recipe_231,ingredient_185,contains
recipe_231,ingredient_95,contains
recipe_231,ingredient_15,contains
recipe_231,ingredient_89,contains
recipe_231,ingredient_44,contains
recipe_231,ingredient_18,contains
recipe_231,ingredient_17,contains
recipe_231,ingredient_28,contains
recipe_231,ingredient_3,contains
recipe_231,ingredient_12,contains
recipe_231,ingredient_43,contains
recipe_231,ingredient_13,contains
recipe_231,cuisine_204,belongs_to
recipe_231,diet_73,suitable_for
recipe_231,meal_type_48,is_type
recipe_233,ingredient_234,contains
recipe_233,cuisine_235,belongs_to
recipe_233,diet_73,suitable_for
recipe_233,meal_type_48,is_type
recipe_233,region_177,belongs_to_region
recipe_233,state_236,belongs_to_state
recipe_237,ingredient_238,contains
recipe_237,ingredient_43,contains
recipe_237,ingredient_195,contains
recipe_237,ingredient_198,contains
recipe_237,ingredient_42,contains
recipe_237,ingredient_46,contains
recipe_237,ingredient_127,contains
recipe_237,ingredient_174,contains
recipe_237,ingredient_239,contains
recipe_237,ingredient_240,contains
recipe_237,ingredient_241,contains
recipe_237,ingredient_220,contains
recipe_237,ingredient_44,contains
recipe_237,ingredient_242,contains
recipe_237,ingredient_3,contains
recipe_237,ingredient_28,contains
recipe_237,cuisine_204,belongs_to
recipe_237,diet_73,suitable_for
recipe_237,meal_type_48,is_type
recipe_243,ingredient_244,contains
recipe_243,ingredient_41,contains
recipe_243,ingredient_42,contains
recipe_243,ingredient_12,contains
recipe_243,ingredient_245,contains
recipe_243,ingredient_246,contains
recipe_243,ingredient_247,contains
recipe_243,ingredient_248,contains
recipe_243,ingredient_249,contains
recipe_243,ingredient_250,contains
recipe_243,ingredient_251,contains
recipe_243,ingredient_44,contains
recipe_243,ingredient_28,contains
recipe_243,ingredient_55,contains
recipe_243,ingredient_32,contains
recipe_243,cuisine_36,belongs_to
recipe_243,diet_73,suitable_for
recipe_243,meal_type_21,is_type
recipe_252,ingredient_253,contains
recipe_252,ingredient_150,contains
recipe_252,ingredient_104,contains
recipe_252,ingredient_105,contains
recipe_252,ingredient_42,contains
recipe_252,ingredient_43,contains
recipe_252,ingredient_13,contains
recipe_252,ingredient_254,contains
recipe_252,ingredient_65,contains
recipe_252,ingredient_108,contains
recipe_252,ingredient_247,contains
recipe_252,ingredient_255,contains
recipe_252,ingredient_3,contains
recipe_252,ingredient_28,contains
recipe_252,cuisine_256,belongs_to
recipe_252,diet_73,suitable_for
recipe_252,meal_type_21,is_type
recipe_257,ingredient_258,contains
recipe_257,ingredient_259,contains
recipe_257,ingredient_132,contains
recipe_257,ingredient_260,contains
recipe_257,ingredient_121,contains
recipe_257,ingredient_261,contains
recipe_257,ingredient_4,contains
recipe_257,ingredient_28,contains
recipe_257,cuisine_262,belongs_to
recipe_257,diet_73,suitable_for
recipe_257,meal_type_38,is_type
recipe_263,ingredient_264,contains
recipe_263,ingredient_12,contains
recipe_263,ingredient_3,contains
recipe_263,ingredient_15,contains
recipe_263,ingredient_220,contains
recipe_263,ingredient_28,contains
recipe_263,ingredient_89,contains
recipe_263,ingredient_4,contains
recipe_263,ingredient_44,contains
recipe_263,ingredient_127,contains
recipe_263,ingredient_18,contains
recipe_263,ingredient_17,contains
recipe_263,cuisine_47,belongs_to
recipe_263,diet_265,suitable_for
recipe_263,meal_type_48,is_type
recipe_266,ingredient_32,contains
recipe_266,ingredient_42,contains
recipe_266,ingredient_41,contains
recipe_266,ingredient_267,contains
recipe_266,ingredient_105,contains
recipe_266,ingredient_268,contains
recipe_266,ingredient_12,contains
recipe_266,ingredient_122,contains
recipe_266,ingredient_143,contains
recipe_266,ingredient_93,contains
recipe_266,ingredient_35,contains
recipe_266,ingredient_269,contains
recipe_266,cuisine_270,belongs_to
recipe_266,diet_73,suitable_for
recipe_266,meal_type_129,is_type
recipe_271,ingredient_253,contains
recipe_271,ingredient_272,contains
recipe_271,ingredient_41,contains
recipe_271,ingredient_42,contains
recipe_271,ingredient_13,contains
recipe_271,ingredient_12,contains
recipe_271,ingredient_89,contains
recipe_271,ingredient_18,contains
recipe_271,ingredient_273,contains
recipe_271,ingredient_28,contains
recipe_271,ingredient_100,contains
recipe_271,ingredient_46,contains
recipe_271,cuisine_204,belongs_to
recipe_271,diet_20,suitable_for
recipe_271,meal_type_48,is_type
recipe_274,ingredient_275,contains
recipe_274,ingredient_41,contains
recipe_274,ingredient_66,contains
recipe_274,ingredient_64,contains
recipe_274,ingredient_276,contains
recipe_274,ingredient_44,contains
recipe_274,ingredient_69,contains
recipe_274,ingredient_28,contains
recipe_274,ingredient_42,contains
recipe_274,ingredient_13,contains
recipe_274,ingredient_277,contains
recipe_274,ingredient_43,contains
recipe_274,ingredient_161,contains
recipe_274,ingredient_46,contains
recipe_274,cuisine_278,belongs_to
recipe_274,diet_73,suitable_for
recipe_274,meal_type_21,is_type
recipe_279,ingredient_50,contains
recipe_279,ingredient_52,contains
recipe_279,ingredient_53,contains
recipe_279,ingredient_251,contains
recipe_279,ingredient_132,contains
recipe_279,ingredient_280,contains
recipe_279,ingredient_160,contains
recipe_279,ingredient_281,contains
recipe_279,ingredient_43,contains
recipe_279,ingredient_42,contains
recipe_279,ingredient_13,contains
recipe_279,ingredient_44,contains
recipe_279,ingredient_33,contains
recipe_279,ingredient_63,contains
recipe_279,ingredient_28,contains
recipe_279,ingredient_64,contains
recipe_279,ingredient_69,contains
recipe_279,ingredient_41,contains
recipe_279,ingredient_198,contains
recipe_279,cuisine_199,belongs_to
recipe_279,diet_37,suitable_for
recipe_279,meal_type_48,is_type
recipe_279,region_177,belongs_to_region
recipe_279,state_200,belongs_to_state
recipe_282,ingredient_283,contains
recipe_282,ingredient_284,contains
recipe_282,ingredient_240,contains
recipe_282,ingredient_43,contains
recipe_282,ingredient_13,contains
recipe_282,ingredient_56,contains
recipe_282,ingredient_28,contains
recipe_282,ingredient_132,contains
recipe_282,ingredient_83,contains
recipe_282,ingredient_41,contains
recipe_282,ingredient_104,contains
recipe_282,ingredient_285,contains
recipe_282,ingredient_286,contains
recipe_282,ingredient_190,contains
recipe_282,ingredient_287,contains
recipe_282,cuisine_124,belongs_to
recipe_282,diet_20,suitable_for
recipe_282,meal_type_38,is_type
recipe_288,ingredient_156,contains
recipe_288,ingredient_102,contains
recipe_288,ingredient_206,contains
recipe_288,ingredient_123,contains
recipe_288,ingredient_80,contains
recipe_288,ingredient_109,contains
recipe_288,ingredient_28,contains
recipe_288,cuisine_289,belongs_to
recipe_288,diet_73,suitable_for
recipe_288,meal_type_85,is_type
recipe_288,region_164,belongs_to_region
recipe_288,state_290,belongs_to_state
recipe_291,ingredient_108,contains
recipe_291,ingredient_80,contains
recipe_291,ingredient_292,contains
recipe_291,ingredient_293,contains
recipe_291,ingredient_77,contains
recipe_291,ingredient_255,contains
recipe_291,ingredient_33,contains
recipe_291,ingredient_42,contains
recipe_291,ingredient_294,contains
recipe_291,cuisine_295,belongs_to
recipe_291,diet_73,suitable_for
recipe_291,meal_type_152,is_type
recipe_296,ingredient_297,contains
recipe_296,ingredient_122,contains
recipe_296,ingredient_42,contains
recipe_296,ingredient_57,contains
recipe_296,ingredient_298,contains
recipe_296,ingredient_32,contains
recipe_296,ingredient_251,contains
recipe_296,ingredient_28,contains
recipe_296,ingredient_105,contains
recipe_296,ingredient_104,contains
recipe_296,ingredient_299,contains
recipe_296,ingredient_287,contains
recipe_296,ingredient_300,contains
recipe_296,ingredient_301,contains
recipe_296,ingredient_302,contains
recipe_296,ingredient_123,contains
recipe_296,ingredient_3,contains
recipe_296,ingredient_4,contains
recipe_296,ingredient_155,contains
recipe_296,ingredient_156,contains
recipe_296,ingredient_33,contains
recipe_296,ingredient_209,contains
recipe_296,cuisine_84,belongs_to
recipe_296,diet_303,suitable_for
recipe_296,meal_type_152,is_type
recipe_304,ingredient_305,contains
recipe_304,ingredient_41,contains
recipe_304,ingredient_12,contains
recipe_304,ingredient_13,contains
recipe_304,ingredient_42,contains
recipe_304,ingredient_89,contains
recipe_304,ingredient_44,contains
recipe_304,ingredient_18,contains
recipe_304,ingredient_127,contains
recipe_304,ingredient_28,contains
recipe_304,cuisine_204,belongs_to
recipe_304,diet_37,suitable_for
recipe_304,meal_type_38,is_type
recipe_306,ingredient_307,contains
recipe_306,ingredient_41,contains
recipe_306,ingredient_12,contains
recipe_306,ingredient_160,contains
recipe_306,ingredient_219,contains
recipe_306,ingredient_162,contains
recipe_306,ingredient_53,contains
recipe_306,ingredient_52,contains
recipe_306,ingredient_13,contains
recipe_306,ingredient_42,contains
recipe_306,ingredient_308,contains
recipe_306,ingredient_174,contains
recipe_306,ingredient_94,contains
recipe_306,ingredient_198,contains
recipe_306,ingredient_220,contains
recipe_306,ingredient_14,contains
recipe_306,cuisine_235,belongs_to
recipe_306,diet_20,suitable_for
recipe_306,meal_type_21,is_type
recipe_306,region_177,belongs_to_region
recipe_306,state_236,belongs_to_state
recipe_309,ingredient_310,contains
recipe_309,ingredient_109,contains
recipe_309,ingredient_100,contains
recipe_309,ingredient_251,contains
recipe_309,ingredient_311,contains
recipe_309,ingredient_28,contains
recipe_309,cuisine_84,belongs_to
recipe_309,diet_73,suitable_for
recipe_309,meal_type_85,is_type
recipe_312,ingredient_156,contains
recipe_312,ingredient_313,contains
recipe_312,ingredient_314,contains
recipe_312,ingredient_28,contains
recipe_312,ingredient_3,contains
recipe_312,ingredient_315,contains
recipe_312,ingredient_127,contains
recipe_312,ingredient_43,contains
recipe_312,ingredient_41,contains
recipe_312,ingredient_151,contains
recipe_312,cuisine_47,belongs_to
recipe_312,diet_20,suitable_for
recipe_312,meal_type_152,is_type
recipe_316,ingredient_317,contains
recipe_316,ingredient_162,contains
recipe_316,ingredient_43,contains
recipe_316,ingredient_198,contains
recipe_316,ingredient_15,contains
recipe_316,ingredient_174,contains
recipe_316,ingredient_44,contains
